harness,reason,good_status,bad_status,good_exit,bad_exit,source
CWE476_NULL_Pointer_Dereference__binary_if_07_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__binary_if_15_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__deref_after_check_01_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__deref_after_check_02_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__deref_after_check_08_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__int64_t_17_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__int64_t_51a_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__int64_t_51b_harness.c,good_failed,FAIL,FAIL,133,133,cppcheck
CWE476_NULL_Pointer_Dereference__int64_t_54a_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__int64_t_54c_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__int64_t_66b_harness.c,good_failed,FAIL,FAIL,133,133,cppcheck
CWE476_NULL_Pointer_Dereference__int_10_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__int_52b_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__int_53d_harness.c,good_failed,FAIL,FAIL,133,133,cppcheck
CWE476_NULL_Pointer_Dereference__int_54b_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__int_68b_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__long_31_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__struct_07_harness.c,bad_passed,PASS,PASS,0,134,cppcheck
CWE476_NULL_Pointer_Dereference__struct_53c_harness.c,good_failed,FAIL,FAIL,1,1,cppcheck
CWE476_NULL_Pointer_Dereference__wchar_t_52c_harness.c,good_failed,FAIL,FAIL,133,133,cppcheck
