harness,reason,good_status,bad_status,good_exit,bad_exit,source
CWE665_Improper_Initialization__char_cat_10_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE665_Improper_Initialization__char_cat_12_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE665_Improper_Initialization__char_cat_66b_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE665_Improper_Initialization__char_ncat_51b_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE665_Improper_Initialization__char_ncat_52c_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE665_Improper_Initialization__char_ncat_64a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE665_Improper_Initialization__wchar_t_cat_01_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE665_Improper_Initialization__wchar_t_cat_21_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE665_Improper_Initialization__wchar_t_cat_22a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE665_Improper_Initialization__wchar_t_cat_22b_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE665_Improper_Initialization__wchar_t_cat_52a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE665_Improper_Initialization__wchar_t_cat_64a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE665_Improper_Initialization__wchar_t_ncat_11_harness.c,bad_passed,PASS,PASS,0,134,semgrep
CWE665_Improper_Initialization__wchar_t_ncat_51a_harness.c,good_failed,FAIL,FAIL,1,1,semgrep
CWE665_Improper_Initialization__wchar_t_ncat_53d_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
CWE665_Improper_Initialization__wchar_t_ncat_63b_harness.c,good_failed,FAIL,FAIL,133,133,semgrep
