# Improved results for CWE121 (cppcheck) — 2025-11-23 19:34:37
[2025-11-23 19:36:06] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_harness_improved.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:37:32] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_memmove_67b_harness_improved.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:38:58] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_harness_improved.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:40:24] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_declare_memcpy_15_harness_improved.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:41:51] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_harness_improved.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:43:16] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04_harness_improved.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:44:44] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_harness_improved.c | mode=good | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:46:09] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_13_harness_improved.c | mode=bad | status=FAIL | asan=no | exit=1 | log=
[2025-11-23 19:47:36] CWE=121 | tool=cppcheck | harness=CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_08_harness_improved.c | mode=good | status=FAIL | asan=no | exit=1 | log=
